alexsdelight-1.18.2-1.3.3.jar	no	alexsdelight,
alexsmobs-1.18.6.jar	yes	alexsmobs,
alternate-current-mc1.18-1.2.1.jar	no	
aquamirae-5.api10.jar	yes	aquamirae,
architectury-4.12.94-forge.jar	no	
areas-1.18.2-5.2.jar	no	
armorcurve-3.0.jar	no	
auudio_forge_1.0.3_MC_1.18-1.18.2.jar	no	
awesomedungeonnether-forge-1.18.2-3.0.0.jar	no	
balm-3.2.6.jar	no	
betterbiomeblend-1.18.2-1.3.5-forge.jar	no	minecraft,
betterfpsdist-1.18.2-1.5.jar	no	
bettergolem-1.18.2-1.1.0.jar	no	
betterstats-2.2.2+1.18.2.jar	no	betterstats,
bettervillage-forge-1.18.2-2.0.0.jar	no	
biomemakeover-FORGE-1.18.2-1.4.32.jar	yes	biomemakeover,
blue_skies-1.18.2-1.3.12.jar	yes	assets/blue_skies/legacy_pack/blue_skies,blue_skies,
blueprint-1.18.2-5.5.0.jar	yes	blueprint,
braincell-1.18.jar	no	braincell,
brutalbosses-1.18.2-5.8.jar	no	brutalbosses,
bwncr-3.13.21.jar	no	bwncr,
bygonenether-1.3.2-1.18.2.jar	yes	bygonenether,
caelus-forge-1.18.1-3.0.0.2.jar	yes	caelus,
callablehorses-1.18.2-1.2.2.5.jar	no	callablehorses,
celesteconfig-1.18.2-1.0.0.jar	no	celesteconfig,
champions-forge-1.18.2-2.1.6.3.jar	yes	champions,
citadel-1.11.3-1.18.2.jar	no	citadel,
cloth-config-6.5.116-forge.jar	yes	cloth-config2,
cloudstorage-1.1.0-1.18.2.jar	no	cloudstorage,
collective-1.18.2-7.7.jar	no	
comforts-forge-1.18.2-5.0.0.6.jar	yes	comforts,
corpse-1.18.2-1.0.1.jar	yes	corpse,
create-1.18.2-0.5.1.f.jar	yes	create,
creeperoverhaul-1.3.1-forge.jar	yes	creeperoverhaul,
cristellib-forge-1.0.0.jar	no	cristellib,
curios-forge-1.18.2-5.0.9.2.jar	yes	curios,
dannys_expansion-1.2.6.jar	no	dannys_expansion,
dawncraft-fixes-0.35.0.jar	no	
dawncraft_mobs-1.18-1.3.9a.jar	no	simple_mobs,
defaultoptions-forge-1.18.2-14.1.2.jar	no	defaultoptions,
difficultraids-1.7.6-release.jar	no	difficultraids,
doespotatotick-1.18.2-4.0.2.jar	no	doespotatotick,
